太谷|140726|140700|太谷
祁县|140727|140700|祁縣
平遥|140728|140700|平遙
灵石|140729|140700|靈石
介休|140781|140700|介休
其它|140782|140700|其它
运城|140800|140000|運城
盐湖|140802|140800|鹽湖
临猗|140821|140800|臨猗
万荣|140822|140800|萬榮
闻喜|140823|140800|聞喜
稷山|140824|140800|稷山
新绛|140825|140800|新絳
绛县|140826|140800|絳縣
垣曲|140827|140800|垣曲
夏县|140828|140800|夏縣
平陆|140829|140800|平陸
芮城|140830|140800|芮城
永济|140881|140800|永濟
河津|140882|140800|河津
其它|140883|140800|其它
忻州|140900|140000|忻州
忻府|140902|140900|忻府
定襄|140921|140900|定襄
五台|140922|140900|五台
代县|140923|140900|代縣
繁峙|140924|140900|繁峙
宁武|140925|140900|寧武
静乐|140926|140900|靜樂
神池|140927|140900|神池
五寨|140928|140900|五寨
岢岚|140929|140900|岢嵐
河曲|140930|140900|河曲
保德|140931|140900|保德
偏关|140932|140900|偏關
原平|140981|140900|原平
其它|140982|140900|其它
临汾|141000|140000|臨汾
尧都|141002|141000|堯都
曲沃|141021|141000|曲沃
翼城|141022|141000|翼城
襄汾|141023|141000|襄汾
洪洞|141024|141000|洪洞
古县|141025|141000|古縣
安泽|141026|141000|安澤
浮山|141027|141000|浮山
吉县|141028|141000|吉縣
乡宁|141029|141000|鄉寧
大宁|141030|141000|大寧
隰县|141031|141000|隰縣
永和|141032|141000|永和
蒲县|141033|141000|蒲縣
汾西|141034|141000|汾西
侯马|141081|141000|侯馬
霍州|141082|141000|霍州
其它|141083|141000|其它
吕梁|141100|140000|呂梁
离石|141102|141100|離石
文水|141121|141100|文水
交城|141122|141100|交城
兴县|141123|141100|興縣
临县|141124|141100|臨縣
柳林|141125|141100|柳林
石楼|141126|141100|石樓
岚县|141127|141100|嵐縣
方山|141128|141100|方山
中阳|141129|141100|中陽
交口|141130|141100|交口
孝义|141181|141100|孝義
汾阳|141182|141100|汾陽
其它|141183|141100|其它
内蒙古|150000|100000|內蒙古
呼和浩特|150100|150000|呼和浩特
新城|150102|150100|新城
回民|150103|150100|回民
玉泉|150104|150100|玉泉
赛罕|150105|150100|賽罕
土默特左旗|150121|150100|土默特左旗
托克托|150122|150100|托克托
和林格尔|150123|150100|和林格爾
清水河|150124|150100|清水河
武川|150125|150100|武川
其它|150126|150100|其它
包头|150200|150000|包頭
东河|150202|150200|東河
昆都仑|150203|150200|昆都崙
青山|150204|150200|青山
石拐|150205|150200|石拐
白云鄂博矿区|150206|150200|白雲鄂博礦區
九原|150207|150200|九原
土默特右旗|150221|150200|土默特右旗
固阳|150222|150200|固陽
达尔罕茂明安联合旗|150223|150200|達爾罕茂明安聯合旗
其它|150224|150200|其它
乌海|150300|150000|烏海
海勃湾|150302|150300|海勃灣
海南|150303|150300|海南
乌达|150304|150300|烏達
其它|150305|150300|其它
赤峰|150400|150000|赤峰
红山|150402|150400|紅山
元宝山|150403|150400|元寶山
松山|150404|150400|松山
阿鲁科尔沁|150421|150400|阿魯科爾沁
巴林左|150422|150400|巴林左
巴林右|150423|150400|巴林右
林西|150424|150400|林西
克什克腾|150425|150400|克什克騰
翁牛特|150426|150400|翁牛特
喀喇沁|150428|150400|喀喇沁
宁城|150429|150400|寧城
敖汉|150430|150400|敖漢
其它|150431|150400|其它
通辽|150500|150000|通遼
科尔沁|150502|150500|科爾沁
科尔沁左翼中|150521|150500|科爾沁左翼中
科尔沁左翼后|150522|150500|科爾沁左翼後
开鲁|150523|150500|開魯
库伦|150524|150500|庫倫
奈曼|150525|150500|奈曼
扎鲁特|150526|150500|扎魯特
霍林郭勒|150581|150500|霍林郭勒
其它|150582|150500|其它
